Symbol,WinRate,Returns,Actual_Ret,Prev_Volatility,Prev_Returns_CAGR,Previous_Sharpe,No.,CAGR,Vol,Sharpe,Drawdown,Calmar
OMAXE,45.45454545,1.082316579,0.413651884,0.13694088,-2.334339811,-0.535584393,11,0.893487779,19.18449241,-0.214053733,31.84149298,0.028060486
HDFCBANK,80,1.302758599,1.5926206,0.160597284,29.06196105,1.498279451,5,3.018786045,8.944955745,-0.22148952,10.13460729,0.29786907
PGHH,66.66666667,1.66659776,1.612480839,0.192800435,21.4548108,0.853463366,9,5.911916854,21.50893353,0.042397121,10.19231091,0.580036942
GLAXO,50,2.019426188,2.215972409,0.2009607,13.87196745,0.441477735,8,8.22381159,32.1201845,0.100367157,21.52182752,0.382114929
COLPAL,77.77777778,2.153682436,2.403230994,0.204076667,19.82372991,0.726380438,9,9.009967827,24.34762837,0.164696445,10.18081845,0.88499445
POWERGRID,100,2.764656425,2.775859415,0.206761232,6.392575775,0.06735188,4,12.11467456,30.35065016,0.234415886,0,inf
WIPRO,61.53846154,2.511936927,2.039201494,0.209006704,26.40671112,1.024211698,13,10.91773237,35.81073037,0.165250256,34.92514929,0.312603742
SKFINDIA,66.66666667,1.841383428,3.169546511,0.209380288,27.17478919,1.059067663,9,7.106398312,21.06992107,0.099971818,19.18758358,0.370364423
SANOFI,66.66666667,1.443805144,1.652311653,0.21307464,19.09472808,0.66149252,3,4.216553887,19.61194771,-0.039947389,9.717115331,0.433930621
GILLETTE,50,0.945145552,1.092105497,0.21514955,19.6285942,0.679926787,8,-0.632392534,11.14604755,-0.505326441,34.06638664,-0.018563534
HINDUNILVR,75,1.804719426,1.649966298,0.21668138,15.82197569,0.499441885,8,6.864441044,19.64648172,0.094899487,10.12245316,0.678140065
TCS,81.81818182,2.508550165,2.446295055,0.223845109,26.98892837,0.982327846,11,10.89577812,23.44034033,0.251522718,10.17718695,1.070608034
OFSS,66.66666667,3.800713096,1.888430008,0.225237093,17.97922606,0.576247272,12,16.19988885,42.06487459,0.266252757,19.1845024,0.844425803
AKZOINDIA,66.66666667,1.511784461,1.337522178,0.228477842,19.4516868,0.632520277,3,4.757132162,22.44199907,-0.010822023,10.03148075,0.474220335
NTPC,87.5,5.709080502,2.550267013,0.228654275,5.02277953,0.000996243,8,21.63980452,39.99735349,0.416022638,10.19319827,2.122965133
KOTAKBANK,80,1.612305576,1.476467508,0.231257589,43.50677385,1.665103145,10,5.518209574,12.12123711,0.042752202,10.16704362,0.542754588
HEROMOTOCO,87.5,1.438931397,1.353176319,0.236342368,15.13933924,0.429010647,8,4.176935096,28.32565263,-0.029057227,43.94364842,0.095052078
MARUTI,100,3.023075279,1.37475414,0.237359238,28.45172977,0.988026841,6,13.25950225,27.04208947,0.305431363,0,inf
SCHAEFFLER,81.25,2.16835421,3.97012347,0.237784881,32.01126805,1.135953976,16,9.093224019,31.7830635,0.128786327,48.43899245,0.187725292
BAJAJ-AUTO,71.42857143,2.477374364,3.262488446,0.237956771,20.55013366,0.653485656,14,10.73993919,24.70438796,0.232344926,19.2211025,0.558757709
INDUSINDBK,100,2.552673083,0.781543837,0.238145039,31.4383608,1.110178945,7,11.1134234,21.1715259,0.288756863,0,inf
SOLARINDS,80,7.100228487,8.644824822,0.24038587,27.4454042,0.933723942,10,24.65950612,49.37886377,0.398136057,19.32920474,1.275764133
DBCORP,50,0.708191806,0.949691522,0.240551358,-4.999844137,-0.415705163,14,-3.805664593,21.65814476,-0.406575203,52.90666337,-0.071931669
PIDILITIND,66.66666667,2.215286242,2.974015391,0.242826972,38.87476453,1.395016551,9,9.356226872,28.27922564,0.154043358,19.23811174,0.486338108
INFY,62.5,1.904262444,2.544096021,0.243450598,33.87448505,1.186051103,8,7.511574659,22.41975686,0.112025062,10.19164969,0.737032266
ASIANPAINT,90,2.063678468,2.472293254,0.244876213,28.78434777,0.971280448,10,8.487932668,12.51615767,0.278674395,10.12353553,0.838435608
DABUR,75,1.63327696,1.582462281,0.24503173,27.16983798,0.904774169,4,5.671661437,21.93953678,0.030614203,10.18965267,0.556609888
